Record Length,2500,Points,1.9676001E-3,10.4000006,,Record Length,2500,Points,1.9676001E-3,-72.000000000,
Sample Interval,39.99999976E-9,s,1.9676401E-3,10.8000002,,Sample Interval,39.99999976E-9,s,1.9676401E-3,-72.000000000,
Trigger Point,-49.19000466E3,Samples,1.9676802E-3,10.4000006,,Trigger Point,-49.19000466E3,Samples,1.9676802E-3,-72.000000000,
,,,1.9677200E-3,10.8000002,,,,,1.9677200E-3,-72.000000000,
,,,1.9677600E-3,10.8000002,,,,,1.9677600E-3,-70.000000000,
,,,1.9678001E-3,10.8000002,,,,,1.9678001E-3,-70.000000000,
Source,CH1,,1.9678401E-3,10.8000002,,Source,CH2,,1.9678401E-3,-70.000000000,
Vertical Units,Volts,,1.9678802E-3,10.8000002,,Vertical Units,Volts,,1.9678802E-3,-72.000000000,
Vertical Scale,10.0000001,,1.9679200E-3,10.8000002,,Vertical Scale,50.00000000,,1.9679200E-3,-70.000000000,
Vertical Offset,0,,1.9679600E-3,10.8000002,,Vertical Offset,0,,1.9679600E-3,-70.000000000,
Horizontal Units,s,,1.9680001E-3,10.8000002,,Horizontal Units,s,,1.9680001E-3,-70.000000000,
Horizontal Scale,9.999999939E-6,,1.9680401E-3,10.8000002,,Horizontal Scale,9.999999939E-6,,1.9680401E-3,-70.000000000,
Pt Fmt,Y,,1.9680802E-3,10.8000002,,Pt Fmt,Y,,1.9680802E-3,-70.000000000,
Yzero,80.000000000E-3,,1.9681200E-3,10.8000002,,Yzero,40.00000000E-3,,1.9681200E-3,-68.000000000,
Probe Atten,10.0000000,,1.9681600E-3,10.8000002,,Probe Atten,10.0000000,,1.9681600E-3,-68.000000000,
,,,1.9682001E-3,11.1999998,,,,,1.9682001E-3,-70.000000000,
Note,TDS 2012C - 10:36:24   29/05/2022,,1.9682401E-3,11.1999998,,Note,TDS 2012C - 10:36:24   29/05/2022,,1.9682401E-3,-68.000000000,
,,,1.9682802E-3,11.1999998,,,,,1.9682802E-3,-68.000000000,
,,,1.9683200E-3,11.1999998,,,,,1.9683200E-3,-66.000000000,
,,,1.9683600E-3,11.1999998,,,,,1.9683600E-3,-66.000000000,
,,,1.9684001E-3,11.1999998,,,,,1.9684001E-3,-66.000000000,
,,,1.9684401E-3,11.1999998,,,,,1.9684401E-3,-66.000000000,
,,,1.9684802E-3,11.6000004,,,,,1.9684802E-3,-64.000000000,
,,,1.9685200E-3,11.6000004,,,,,1.9685200E-3,-68.000000000,
,,,1.9685600E-3,11.1999998,,,,,1.9685600E-3,-64.000000000,
,,,1.9686001E-3,11.1999998,,,,,1.9686001E-3,-64.000000000,
,,,1.9686401E-3,11.1999998,,,,,1.9686401E-3,-62.000000000,
,,,1.9686802E-3,11.1999998,,,,,1.9686802E-3,-64.000000000,
,,,1.9687200E-3,11.6000004,,,,,1.9687200E-3,-64.000000000,
,,,1.9687600E-3,11.6000004,,,,,1.9687600E-3,-66.000000000,
,,,1.9688001E-3,11.1999998,,,,,1.9688001E-3,-64.000000000,
,,,1.9688401E-3,12.0000000,,,,,1.9688401E-3,-64.000000000,
,,,1.9688802E-3,11.6000004,,,,,1.9688802E-3,-60.000000000,
,,,1.9689200E-3,11.6000004,,,,,1.9689200E-3,-62.000000000,
,,,1.9689600E-3,11.6000004,,,,,1.9689600E-3,-62.000000000,
,,,1.9690001E-3,12.0000000,,,,,1.9690001E-3,-60.000000000,
,,,1.9690401E-3,11.6000004,,,,,1.9690401E-3,-60.000000000,
,,,1.9690802E-3,12.0000000,,,,,1.9690802E-3,-62.000000000,
,,,1.9691200E-3,11.6000004,,,,,1.9691200E-3,-58.000000000,
,,,1.9691600E-3,12.4000006,,,,,1.9691600E-3,-58.000000000,
,,,1.9692001E-3,12.0000000,,,,,1.9692001E-3,-58.000000000,
,,,1.9692401E-3,11.6000004,,,,,1.9692401E-3,-60.000000000,
,,,1.9692802E-3,12.0000000,,,,,1.9692802E-3,-60.000000000,
,,,1.9693200E-3,12.0000000,,,,,1.9693200E-3,-58.000000000,
,,,1.9693600E-3,11.1999998,,,,,1.9693600E-3,-58.000000000,
,,,1.9694001E-3,11.6000004,,,,,1.9694001E-3,-56.000000000,
,,,1.9694401E-3,11.6000004,,,,,1.9694401E-3,-56.000000000,
,,,1.9694802E-3,12.0000000,,,,,1.9694802E-3,-58.000000000,
,,,1.9695200E-3,11.6000004,,,,,1.9695200E-3,-56.000000000,
,,,1.9695600E-3,12.0000000,,,,,1.9695600E-3,-54.00000000,
,,,1.9696001E-3,11.6000004,,,,,1.9696001E-3,-54.00000000,
,,,1.9696401E-3,12.0000000,,,,,1.9696401E-3,-54.00000000,
,,,1.9696802E-3,11.6000004,,,,,1.9696802E-3,-50.00000000,
,,,1.9697200E-3,12.0000000,,,,,1.9697200E-3,-52.00000000,
,,,1.9697601E-3,12.4000006,,,,,1.9697601E-3,-54.00000000,
,,,1.9698001E-3,12.0000000,,,,,1.9698001E-3,-50.00000000,
,,,1.9698401E-3,12.0000000,,,,,1.9698401E-3,-52.00000000,
,,,1.9698802E-3,12.0000000,,,,,1.9698802E-3,-50.00000000,
,,,1.9699200E-3,12.0000000,,,,,1.9699200E-3,-50.00000000,
,,,1.9699601E-3,12.4000006,,,,,1.9699601E-3,-50.00000000,
,,,1.9700001E-3,12.0000000,,,,,1.9700001E-3,-48.00000000,
,,,1.9700401E-3,11.6000004,,,,,1.9700401E-3,-48.00000000,
,,,1.9700802E-3,11.6000004,,,,,1.9700802E-3,-48.00000000,
,,,1.9701200E-3,12.0000000,,,,,1.9701200E-3,-48.00000000,
,,,1.9701601E-3,12.0000000,,,,,1.9701601E-3,-48.00000000,
,,,1.9702001E-3,12.0000000,,,,,1.9702001E-3,-46.00000000,
,,,1.9702401E-3,11.6000004,,,,,1.9702401E-3,-46.00000000,
,,,1.9702802E-3,12.0000000,,,,,1.9702802E-3,-44.00000000,
,,,1.9703200E-3,12.0000000,,,,,1.9703200E-3,-46.00000000,
,,,1.9703601E-3,12.0000000,,,,,1.9703601E-3,-44.00000000,
,,,1.9704001E-3,12.0000000,,,,,1.9704001E-3,-42.00000000,
,,,1.9704401E-3,12.0000000,,,,,1.9704401E-3,-42.00000000,
,,,1.9704802E-3,12.0000000,,,,,1.9704802E-3,-42.00000000,
,,,1.9705200E-3,11.6000004,,,,,1.9705200E-3,-42.00000000,
,,,1.9705601E-3,12.0000000,,,,,1.9705601E-3,-40.00000000,
,,,1.9706001E-3,12.0000000,,,,,1.9706001E-3,-40.00000000,
,,,1.9706402E-3,11.6000004,,,,,1.9706402E-3,-40.00000000,
,,,1.9706800E-3,11.6000004,,,,,1.9706800E-3,-38.00000000,
,,,1.9707200E-3,12.0000000,,,,,1.9707200E-3,-40.00000000,
,,,1.9707601E-3,11.6000004,,,,,1.9707601E-3,-36.00000000,
,,,1.9708001E-3,11.6000004,,,,,1.9708001E-3,-38.00000000,
