Record Length,2500,Points,17.6880006E-3,12.8127995,,Record Length,2500,Points,17.6880006E-3,12.6000004,
Sample Interval,400.00000467E-9,s,17.6884010E-3,12.8127995,,Sample Interval,400.00000467E-9,s,17.6884010E-3,12.6000004,
Trigger Point,-44.22000302E3,Samples,17.6887996E-3,12.7231998,,Trigger Point,-44.22000302E3,Samples,17.6887996E-3,12.8000002,
,,,17.6892001E-3,12.9023991,,,,,17.6892001E-3,12.8000002,
,,,17.6896006E-3,12.7231998,,,,,17.6896006E-3,12.8000002,
,,,17.6900011E-3,12.9023991,,,,,17.6900011E-3,12.6000004,
Source,CH1,,17.6903997E-3,12.6335993,,Source,CH2,,17.6903997E-3,12.8000002,
Vertical Units,Volts,,17.6908001E-3,12.9023991,,Vertical Units,Volts,,17.6908001E-3,12.6000004,
Vertical Scale,2.2399999,,17.6912006E-3,12.8127995,,Vertical Scale,5.00000007,,17.6912006E-3,12.6000004,
Vertical Offset,0,,17.6916011E-3,12.7231998,,Vertical Offset,0,,17.6916011E-3,12.6000004,
Horizontal Units,s,,17.6919997E-3,12.9023991,,Horizontal Units,s,,17.6919997E-3,12.6000004,
Horizontal Scale,100.0000012E-6,,17.6924001E-3,12.6335993,,Horizontal Scale,100.0000012E-6,,17.6924001E-3,12.6000004,
Pt Fmt,Y,,17.6928006E-3,12.8127995,,Pt Fmt,Y,,17.6928006E-3,12.8000002,
Yzero,-2.6400000,,17.6932011E-3,12.7231998,,Yzero,-1.3600000,,17.6932011E-3,12.6000004,
Probe Atten,1.000000,,17.6935997E-3,12.8127995,,Probe Atten,1.000000,,17.6935997E-3,12.6000004,
,,,17.6940002E-3,12.9023991,,,,,17.6940002E-3,12.8000002,
Note,TDS 2012C - 11:15:40   22/05/2022,,17.6944006E-3,12.6335993,,Note,TDS 2012C - 11:15:40   22/05/2022,,17.6944006E-3,12.6000004,
,,,17.6948011E-3,12.8127995,,,,,17.6948011E-3,12.6000004,
,,,17.6951997E-3,12.8127995,,,,,17.6951997E-3,12.6000004,
,,,17.6956002E-3,12.9919996,,,,,17.6956002E-3,12.8000002,
,,,17.6960006E-3,12.8127995,,,,,17.6960006E-3,12.8000002,
,,,17.6964011E-3,12.6335993,,,,,17.6964011E-3,12.6000004,
,,,17.6967997E-3,12.9919996,,,,,17.6967997E-3,12.4000006,
,,,17.6972002E-3,12.9919996,,,,,17.6972002E-3,12.6000004,
,,,17.6976006E-3,12.9023991,,,,,17.6976006E-3,12.8000002,
,,,17.6980011E-3,12.7231998,,,,,17.6980011E-3,12.6000004,
,,,17.6983997E-3,12.8127995,,,,,17.6983997E-3,12.6000004,
,,,17.6988002E-3,12.9919996,,,,,17.6988002E-3,12.4000006,
,,,17.6992007E-3,12.7231998,,,,,17.6992007E-3,12.6000004,
,,,17.6996011E-3,12.9023991,,,,,17.6996011E-3,12.8000002,
,,,17.6999997E-3,12.7231998,,,,,17.6999997E-3,12.6000004,
,,,17.7004002E-3,12.9023991,,,,,17.7004002E-3,12.8000002,
,,,17.7008007E-3,12.8127995,,,,,17.7008007E-3,12.8000002,
,,,17.7012011E-3,12.6335993,,,,,17.7012011E-3,12.6000004,
,,,17.7015997E-3,12.6335993,,,,,17.7015997E-3,12.6000004,
,,,17.7020002E-3,12.9023991,,,,,17.7020002E-3,12.6000004,
,,,17.7024007E-3,12.6335993,,,,,17.7024007E-3,12.6000004,
,,,17.7028012E-3,12.8127995,,,,,17.7028012E-3,12.6000004,
,,,17.7031998E-3,12.8127995,,,,,17.7031998E-3,12.8000002,
,,,17.7036002E-3,12.6335993,,,,,17.7036002E-3,12.8000002,
,,,17.7040007E-3,12.8127995,,,,,17.7040007E-3,12.6000004,
,,,17.7044012E-3,12.6335993,,,,,17.7044012E-3,12.6000004,
,,,17.7047998E-3,12.8127995,,,,,17.7047998E-3,12.6000004,
,,,17.7052002E-3,12.9023991,,,,,17.7052002E-3,12.6000004,
,,,17.7056007E-3,12.7231998,,,,,17.7056007E-3,12.6000004,
,,,17.7060012E-3,12.9023991,,,,,17.7060012E-3,12.8000002,
,,,17.7063998E-3,12.8127995,,,,,17.7063998E-3,12.8000002,
,,,17.7068003E-3,12.9919996,,,,,17.7068003E-3,12.4000006,
,,,17.7072007E-3,12.7231998,,,,,17.7072007E-3,12.8000002,
,,,17.7076012E-3,12.9023991,,,,,17.7076012E-3,12.6000004,
,,,17.7079998E-3,12.7231998,,,,,17.7079998E-3,12.6000004,
,,,17.7084003E-3,12.7231998,,,,,17.7084003E-3,12.6000004,
,,,17.7088007E-3,12.9023991,,,,,17.7088007E-3,12.6000004,
,,,17.7092012E-3,12.9023991,,,,,17.7092012E-3,12.6000004,
,,,17.7095998E-3,12.9023991,,,,,17.7095998E-3,12.8000002,
,,,17.7100003E-3,12.6335993,,,,,17.7100003E-3,12.6000004,
,,,17.7104007E-3,12.9023991,,,,,17.7104007E-3,12.6000004,
,,,17.7108012E-3,12.9023991,,,,,17.7108012E-3,12.6000004,
,,,17.7111998E-3,12.6335993,,,,,17.7111998E-3,12.6000004,
,,,17.7116003E-3,12.7231998,,,,,17.7116003E-3,12.6000004,
,,,17.7120008E-3,12.6335993,,,,,17.7120008E-3,12.8000002,
,,,17.7124012E-3,12.7231998,,,,,17.7124012E-3,12.6000004,
,,,17.7127998E-3,12.9023991,,,,,17.7127998E-3,12.6000004,
,,,17.7132003E-3,13.0815992,,,,,17.7132003E-3,12.6000004,
,,,17.7136008E-3,12.6335993,,,,,17.7136008E-3,12.6000004,
,,,17.7140012E-3,12.6335993,,,,,17.7140012E-3,12.6000004,
,,,17.7143998E-3,12.5439997,,,,,17.7143998E-3,12.6000004,
,,,17.7148003E-3,12.4543991,,,,,17.7148003E-3,12.6000004,
,,,17.7152008E-3,12.8127995,,,,,17.7152008E-3,12.8000002,
,,,17.7156013E-3,12.8127995,,,,,17.7156013E-3,12.6000004,
,,,17.7159999E-3,12.9023991,,,,,17.7159999E-3,12.6000004,
,,,17.7164003E-3,12.8127995,,,,,17.7164003E-3,12.6000004,
,,,17.7168008E-3,12.7231998,,,,,17.7168008E-3,12.6000004,
,,,17.7172013E-3,12.9919996,,,,,17.7172013E-3,12.6000004,
,,,17.7175999E-3,12.8127995,,,,,17.7175999E-3,12.8000002,
,,,17.7180003E-3,12.8127995,,,,,17.7180003E-3,12.6000004,
,,,17.7184008E-3,13.1711998,,,,,17.7184008E-3,12.8000002,
,,,17.7188013E-3,12.8127995,,,,,17.7188013E-3,12.8000002,
,,,17.7191999E-3,12.9023991,,,,,17.7191999E-3,12.8000002,
,,,17.7196003E-3,12.8127995,,,,,17.7196003E-3,12.6000004,
,,,17.7200008E-3,12.9023991,,,,,17.7200008E-3,12.6000004,
,,,17.7204013E-3,12.8127995,,,,,17.7204013E-3,12.6000004,
,,,17.7207999E-3,12.8127995,,,,,17.7207999E-3,12.4000006,
,,,17.7212004E-3,12.8127995,,,,,17.7212004E-3,12.6000004,
,,,17.7216008E-3,12.8127995,,,,,17.7216008E-3,12.6000004,
,,,17.7220013E-3,12.6335993,,,,,17.7220013E-3,12.8000002,
,,,17.7223999E-3,12.6335993,,,,,17.7223999E-3,12.6000004,
,,,17.7228004E-3,12.6335993,,,,,17.7228004E-3,12.6000004,
,,,17.7232008E-3,12.9023991,,,,,17.7232008E-3,12.6000004,
,,,17.7236013E-3,12.8127995,,,,,17.7236013E-3,12.6000004,
,,,17.7239999E-3,12.7231998,,,,,17.7239999E-3,12.6000004,
,,,17.7244004E-3,12.8127995,,,,,17.7244004E-3,12.6000004,
,,,17.7248009E-3,12.8127995,,,,,17.7248009E-3,12.4000006,
,,,17.7252013E-3,12.8127995,,,,,17.7252013E-3,12.6000004,
,,,17.7255999E-3,12.7231998,,,,,17.7255999E-3,12.4000006,
,,,17.7260004E-3,12.7231998,,,,,17.7260004E-3,12.8000002,
,,,17.7264009E-3,12.9023991,,,,,17.7264009E-3,12.6000004,
,,,17.7268013E-3,12.7231998,,,,,17.7268013E-3,12.6000004,
,,,17.7271999E-3,12.8127995,,,,,17.7271999E-3,12.6000004,
,,,17.7276004E-3,12.8127995,,,,,17.7276004E-3,12.6000004,
,,,17.7280009E-3,12.8127995,,,,,17.7280009E-3,12.6000004,
,,,17.7284013E-3,12.6335993,,,,,17.7284013E-3,12.4000006,
,,,17.7288000E-3,12.8127995,,,,,17.7288000E-3,12.6000004,
,,,17.7292004E-3,12.7231998,,,,,17.7292004E-3,12.6000004,
,,,17.7296009E-3,12.8127995,,,,,17.7296009E-3,12.6000004,
,,,17.7300014E-3,12.4543991,,,,,17.7300014E-3,12.6000004,
,,,17.7304000E-3,12.7231998,,,,,17.7304000E-3,12.6000004,
,,,17.7308004E-3,12.6335993,,,,,17.7308004E-3,12.6000004,
,,,17.7312009E-3,12.8127995,,,,,17.7312009E-3,12.8000002,
,,,17.7316014E-3,12.8127995,,,,,17.7316014E-3,12.6000004,
,,,17.7320000E-3,12.6335993,,,,,17.7320000E-3,12.6000004,
,,,17.7324004E-3,12.9023991,,,,,17.7324004E-3,12.8000002,
,,,17.7328009E-3,12.6335993,,,,,17.7328009E-3,12.6000004,
,,,17.7332014E-3,12.9023991,,,,,17.7332014E-3,12.6000004,
,,,17.7336000E-3,12.8127995,,,,,17.7336000E-3,12.8000002,
,,,17.7340005E-3,12.7231998,,,,,17.7340005E-3,12.6000004,
,,,17.7344009E-3,12.8127995,,,,,17.7344009E-3,12.6000004,
,,,17.7348014E-3,12.6335993,,,,,17.7348014E-3,12.6000004,
,,,17.7352000E-3,12.5439997,,,,,17.7352000E-3,12.6000004,
,,,17.7356005E-3,12.7231998,,,,,17.7356005E-3,12.6000004,
,,,17.7360009E-3,12.8127995,,,,,17.7360009E-3,12.6000004,
,,,17.7364014E-3,12.8127995,,,,,17.7364014E-3,12.4000006,
,,,17.7368000E-3,12.8127995,,,,,17.7368000E-3,12.6000004,
,,,17.7372005E-3,12.7231998,,,,,17.7372005E-3,12.6000004,
,,,17.7376010E-3,12.8127995,,,,,17.7376010E-3,12.6000004,
,,,17.7380014E-3,12.9919996,,,,,17.7380014E-3,12.6000004,
,,,17.7384000E-3,12.7231998,,,,,17.7384000E-3,12.4000006,
,,,17.7388005E-3,12.5439997,,,,,17.7388005E-3,12.6000004,
,,,17.7392010E-3,12.9023991,,,,,17.7392010E-3,12.6000004,
,,,17.7396014E-3,12.5439997,,,,,17.7396014E-3,12.6000004,
,,,17.7400000E-3,12.6335993,,,,,17.7400000E-3,12.6000004,
,,,17.7404005E-3,12.7231998,,,,,17.7404005E-3,12.6000004,
,,,17.7408010E-3,12.6335993,,,,,17.7408010E-3,12.6000004,
,,,17.7412014E-3,12.6335993,,,,,17.7412014E-3,12.6000004,
,,,17.7416001E-3,12.6335993,,,,,17.7416001E-3,12.6000004,
,,,17.7420005E-3,12.6335993,,,,,17.7420005E-3,12.6000004,
,,,17.7424010E-3,12.7231998,,,,,17.7424010E-3,12.4000006,
,,,17.7428015E-3,12.7231998,,,,,17.7428015E-3,12.6000004,
,,,17.7432001E-3,12.7231998,,,,,17.7432001E-3,12.6000004,
,,,17.7436005E-3,12.6335993,,,,,17.7436005E-3,12.6000004,
,,,17.7440010E-3,12.7231998,,,,,17.7440010E-3,12.4000006,
,,,17.7444015E-3,12.8127995,,,,,17.7444015E-3,12.6000004,
,,,17.7448001E-3,12.8127995,,,,,17.7448001E-3,12.6000004,
,,,17.7452005E-3,12.8127995,,,,,17.7452005E-3,12.6000004,
,,,17.7456010E-3,12.8127995,,,,,17.7456010E-3,12.4000006,
,,,17.7460015E-3,12.7231998,,,,,17.7460015E-3,12.8000002,
,,,17.7464001E-3,12.7231998,,,,,17.7464001E-3,12.8000002,
,,,17.7468006E-3,12.8127995,,,,,17.7468006E-3,12.6000004,
,,,17.7472010E-3,12.7231998,,,,,17.7472010E-3,12.6000004,
,,,17.7476015E-3,12.7231998,,,,,17.7476015E-3,12.6000004,
,,,17.7480001E-3,12.7231998,,,,,17.7480001E-3,12.6000004,
,,,17.7484006E-3,12.6335993,,,,,17.7484006E-3,12.6000004,
,,,17.7488010E-3,12.7231998,,,,,17.7488010E-3,12.6000004,
