Record Length,2500,Points,5.72000025E-3,12.5439997,,Record Length,2500,Points,5.72000025E-3,12.6000004,
Sample Interval,3.99999999E-6,s,5.72400028E-3,12.5439997,,Sample Interval,3.99999999E-6,s,5.72400028E-3,12.6000004,
Trigger Point,-1.4300001E3,Samples,5.72800031E-3,12.4543991,,Trigger Point,-1.4300001E3,Samples,5.72800031E-3,12.6000004,
,,,5.73200034E-3,12.5439997,,,,,5.73200034E-3,12.6000004,
,,,5.73600037E-3,12.6335993,,,,,5.73600037E-3,12.6000004,
,,,5.74000040E-3,12.6335993,,,,,5.74000040E-3,12.6000004,
Source,CH1,,5.74400043E-3,12.4543991,,Source,CH2,,5.74400043E-3,12.6000004,
Vertical Units,Volts,,5.74800046E-3,12.5439997,,Vertical Units,Volts,,5.74800046E-3,12.6000004,
Vertical Scale,2.2399999,,5.75200003E-3,12.6335993,,Vertical Scale,5.00000007,,5.75200003E-3,12.6000004,
Vertical Offset,0,,5.75600006E-3,12.5439997,,Vertical Offset,0,,5.75600006E-3,12.6000004,
Horizontal Units,s,,5.76000009E-3,12.4543991,,Horizontal Units,s,,5.76000009E-3,12.6000004,
Horizontal Scale,1.000000E-3,,5.76400012E-3,12.6335993,,Horizontal Scale,1.000000E-3,,5.76400012E-3,12.6000004,
Pt Fmt,Y,,5.76800015E-3,12.5439997,,Pt Fmt,Y,,5.76800015E-3,12.6000004,
Yzero,-2.6400000,,5.77200018E-3,12.5439997,,Yzero,-920.000000000E-3,,5.77200018E-3,12.6000004,
Probe Atten,1.000000,,5.77600021E-3,12.7231998,,Probe Atten,1.000000,,5.77600021E-3,12.6000004,
,,,5.78000024E-3,12.5439997,,,,,5.78000024E-3,12.6000004,
Note,TDS 2012C - 10:38:06   22/05/2022,,5.78400027E-3,12.5439997,,Note,TDS 2012C - 10:38:06   22/05/2022,,5.78400027E-3,12.6000004,
,,,5.78800030E-3,12.5439997,,,,,5.78800030E-3,12.6000004,
,,,5.79200033E-3,12.4543991,,,,,5.79200033E-3,12.6000004,
,,,5.79600036E-3,12.5439997,,,,,5.79600036E-3,12.6000004,
,,,5.80000039E-3,12.4543991,,,,,5.80000039E-3,12.6000004,
,,,5.80400042E-3,12.5439997,,,,,5.80400042E-3,12.6000004,
,,,5.80800045E-3,12.4543991,,,,,5.80800045E-3,12.6000004,
,,,5.81200002E-3,12.6335993,,,,,5.81200002E-3,12.6000004,
,,,5.81600005E-3,12.6335993,,,,,5.81600005E-3,12.6000004,
,,,5.82000008E-3,12.4543991,,,,,5.82000008E-3,12.6000004,
,,,5.82400011E-3,12.5439997,,,,,5.82400011E-3,12.6000004,
,,,5.82800014E-3,12.5439997,,,,,5.82800014E-3,12.6000004,
,,,5.83200017E-3,12.4543991,,,,,5.83200017E-3,12.6000004,
,,,5.83600020E-3,12.6335993,,,,,5.83600020E-3,12.6000004,
,,,5.84000023E-3,12.5439997,,,,,5.84000023E-3,12.6000004,
,,,5.84400026E-3,12.5439997,,,,,5.84400026E-3,12.6000004,
,,,5.84800029E-3,12.5439997,,,,,5.84800029E-3,12.6000004,
,,,5.85200032E-3,12.4543991,,,,,5.85200032E-3,12.6000004,
,,,5.85600035E-3,12.4543991,,,,,5.85600035E-3,12.6000004,
